ModelName,CPUUsage,RAMUsage,Temperature,Voltage,DiskUsage,FanSpeed,ProblemDetected
HP Z2 G8,34.42,87.11,60.46,11.88,47.31,3344,Memory Leak
HP Z2 G8,91.11,57.82,72.0,12.27,63.8,1460,Overheating
Lenovo ThinkCentre M90q,71.39,49.86,75.17,11.67,62.72,5810,Overheating
Lenovo ThinkCentre M90q,44.2,58.2,42.13,12.15,99.67,2929,Disk Failure
Lenovo ThinkCentre M90q,95.0,36.63,56.8,12.49,80.37,2447,Disk Failure
HP Z2 G8,17.25,31.39,61.82,16.02,63.98,1695,Power Issue
Dell OptiPlex 7090,82.27,41.86,87.49,12.0,59.86,4233,Overheating
Dell OptiPlex 7090,41.31,70.18,44.0,12.43,100.0,2449,Disk Failure
HP EliteDesk 800 G6,27.92,35.87,43.66,11.72,15.12,2158,No Problem
Dell OptiPlex 7090,81.06,95.19,75.02,12.34,55.92,2574,Memory Leak
HP EliteDesk 800 G6,80.14,60.62,72.57,12.04,51.77,1384,Overheating
Dell OptiPlex 7090,40.08,72.06,53.78,11.9,59.2,1878,Disk Failure
Dell OptiPlex 7090,58.99,67.99,72.0,11.82,75.98,5668,Overheating
HP Z2 G8,3.0,84.96,52.73,13.97,55.96,3123,Power Issue
HP Z2 G8,42.07,47.11,47.6,11.74,53.6,1956,No Problem
Lenovo ThinkCentre M90q,24.43,18.97,36.72,11.73,55.6,2564,No Problem
HP EliteDesk 800 G6,38.93,38.56,50.73,11.51,71.52,1493,No Problem
HP EliteDesk 800 G6,58.93,63.46,57.53,12.31,94.18,2196,Disk Failure
HP Z2 G8,27.26,60.31,29.46,12.74,78.66,2963,Power Issue
HP Z2 G8,85.66,90.85,63.61,11.97,48.02,4301,Memory Leak
Dell OptiPlex 7090,61.77,17.5,59.3,8.66,34.03,2537,Power Issue
Dell Precision 3650,43.84,81.68,74.99,15.6,39.73,2785,Power Issue
Dell OptiPlex 7090,93.18,58.36,82.62,12.09,65.48,5857,Overheating
Dell OptiPlex 7090,70.45,50.76,62.28,11.89,86.49,2289,Disk Failure
Dell Precision 3650,39.45,43.64,43.35,12.29,37.19,1793,No Problem
Dell OptiPlex 7090,62.32,53.92,46.61,12.03,53.46,2622,No Problem
HP EliteDesk 800 G6,82.6,49.68,90.91,12.35,59.14,1380,Overheating
Dell Precision 3650,76.5,92.66,74.36,12.17,37.86,2033,Memory Leak
Lenovo ThinkCentre M90q,93.14,49.22,61.49,12.07,89.58,2498,Disk Failure
HP EliteDesk 800 G6,19.87,50.14,41.57,12.12,81.37,2435,No Problem
Lenovo ThinkCentre M90q,38.87,41.93,30.92,12.05,64.48,1822,No Problem
Dell Precision 3650,67.13,82.48,110.37,11.77,41.37,1828,Overheating
HP EliteDesk 800 G6,75.22,85.81,90.7,12.45,72.98,4292,Overheating
Dell Precision 3650,92.68,81.16,72.0,12.28,49.86,3518,Overheating
Lenovo ThinkCentre M90q,76.86,92.06,59.78,11.74,42.59,3057,Memory Leak
HP Z2 G8,78.92,76.41,82.98,11.76,28.77,4885,Overheating
Lenovo ThinkCentre M90q,48.32,86.7,62.71,11.74,78.0,2198,Disk Failure
Dell Precision 3650,79.28,92.36,102.87,12.17,48.0,2194,Overheating
HP Z2 G8,80.38,66.38,92.78,11.69,44.1,4657,Overheating
Dell Precision 3650,66.22,99.7,81.51,12.1,52.53,2644,Memory Leak
Dell OptiPlex 7090,82.25,67.83,103.72,11.3,85.04,5718,Overheating
HP EliteDesk 800 G6,60.53,38.91,56.85,11.95,93.11,2185,Disk Failure
HP EliteDesk 800 G6,75.11,36.57,108.64,11.77,54.92,1740,Overheating
HP Z2 G8,67.6,23.98,62.67,12.53,95.24,2447,Disk Failure
HP EliteDesk 800 G6,58.83,67.3,74.29,16.32,55.66,564,Power Issue
Dell Precision 3650,31.32,68.78,42.2,12.27,63.61,2686,No Problem
HP EliteDesk 800 G6,41.91,44.73,59.52,12.2,94.46,2039,Disk Failure
Dell Precision 3650,34.46,52.12,53.22,12.16,89.33,2644,Disk Failure
HP EliteDesk 800 G6,72.59,66.3,73.14,11.91,42.14,1304,Overheating
Dell OptiPlex 7090,62.72,44.76,43.95,11.98,25.97,2322,No Problem
HP EliteDesk 800 G6,100.0,23.66,98.57,12.5,80.92,4489,Overheating
HP EliteDesk 800 G6,33.69,21.34,36.99,12.09,52.0,1997,No Problem
Lenovo ThinkCentre M90q,67.83,94.52,51.34,12.0,69.33,3354,Memory Leak
HP EliteDesk 800 G6,48.34,32.44,64.27,12.13,82.84,1568,Disk Failure
HP Z2 G8,66.92,43.61,59.69,11.9,90.98,2817,Disk Failure
Lenovo ThinkCentre M90q,47.7,83.76,78.35,13.59,15.62,2877,Power Issue
HP Z2 G8,26.25,49.91,61.64,9.86,82.88,2762,Power Issue
HP Z2 G8,25.71,38.46,57.4,12.02,48.81,2446,No Problem
Dell OptiPlex 7090,48.72,33.71,67.69,11.84,87.46,2316,Disk Failure
Dell Precision 3650,60.72,71.42,69.24,12.68,61.2,4179,Memory Leak
Lenovo ThinkCentre M90q,58.6,88.39,76.26,12.27,64.04,2463,Memory Leak
HP EliteDesk 800 G6,59.9,91.7,79.74,11.59,37.17,2872,Memory Leak
HP Z2 G8,37.08,28.16,38.03,11.89,82.77,1918,Disk Failure
Lenovo ThinkCentre M90q,44.44,45.42,48.26,10.15,45.36,1848,Power Issue
HP Z2 G8,5.0,42.04,46.31,11.65,66.92,2081,No Problem
HP Z2 G8,50.95,60.12,66.12,12.23,90.09,2494,Disk Failure
HP Z2 G8,41.51,38.5,67.16,9.77,52.88,1781,Power Issue
HP Z2 G8,52.35,90.88,94.2,11.85,21.77,2646,Memory Leak
Dell Precision 3650,21.96,42.02,51.11,12.08,49.83,3402,No Problem
HP EliteDesk 800 G6,54.33,55.93,47.05,12.24,94.76,2759,Disk Failure
Dell OptiPlex 7090,8.38,60.63,39.46,12.39,63.69,2466,No Problem
HP Z2 G8,52.54,16.44,60.46,11.99,50.85,3129,Disk Failure
HP EliteDesk 800 G6,17.43,28.6,35.52,12.22,65.98,2537,No Problem
Lenovo ThinkCentre M90q,31.77,18.85,75.54,13.92,50.06,3710,Power Issue
Dell Precision 3650,19.52,48.17,54.17,11.55,60.11,1986,No Problem
Lenovo ThinkCentre M90q,32.61,29.11,46.11,11.75,36.23,2032,No Problem
HP Z2 G8,27.16,35.82,50.26,11.82,44.64,1787,No Problem
Dell Precision 3650,26.13,78.0,50.61,12.01,41.83,1945,No Problem
HP EliteDesk 800 G6,68.25,50.04,55.04,14.81,33.61,3312,Power Issue
Dell Precision 3650,50.0,41.12,34.13,12.35,38.66,1847,No Problem
HP Z2 G8,78.23,97.56,83.74,11.89,49.0,4388,Overheating
Lenovo ThinkCentre M90q,78.68,94.52,71.16,12.05,51.81,3820,Memory Leak
Lenovo ThinkCentre M90q,94.35,63.76,53.72,13.95,58.85,1069,Power Issue
Dell Precision 3650,5.0,29.69,65.09,11.85,100.0,1821,Disk Failure
HP Z2 G8,66.04,91.56,66.01,11.88,52.28,3905,Memory Leak
HP EliteDesk 800 G6,26.8,8.6,68.15,16.12,73.92,1156,Power Issue
Lenovo ThinkCentre M90q,38.52,47.05,44.99,11.96,47.7,2173,No Problem
Lenovo ThinkCentre M90q,72.96,98.96,54.72,12.1,51.14,2671,Memory Leak
HP EliteDesk 800 G6,65.7,81.76,89.13,12.3,8.85,4709,Overheating
HP Z2 G8,59.26,95.93,70.39,12.01,87.31,3339,Memory Leak
HP EliteDesk 800 G6,62.26,56.63,43.88,16.14,65.83,3505,Power Issue
HP EliteDesk 800 G6,100.0,54.1,106.06,12.41,85.48,1508,Overheating
HP EliteDesk 800 G6,38.76,57.67,69.88,12.43,46.55,3119,Disk Failure
Dell OptiPlex 7090,63.3,79.89,83.55,11.78,52.15,3769,Overheating
Lenovo ThinkCentre M90q,43.37,30.46,70.07,12.18,21.23,2373,Power Issue
Dell OptiPlex 7090,37.94,56.63,65.17,14.14,74.45,2040,Power Issue
HP EliteDesk 800 G6,88.6,92.55,72.77,11.83,81.54,3932,Memory Leak
Dell OptiPlex 7090,40.78,23.37,35.46,12.19,14.78,2648,No Problem
Lenovo ThinkCentre M90q,78.6,53.82,72.0,12.02,42.51,3895,Overheating
Dell Precision 3650,34.15,40.46,29.4,12.15,66.35,2697,No Problem
HP EliteDesk 800 G6,99.72,98.56,84.17,12.46,21.93,3603,Memory Leak
Dell OptiPlex 7090,56.1,38.36,94.87,12.03,69.92,3680,Overheating
Lenovo ThinkCentre M90q,77.63,100.0,66.37,11.77,98.0,3172,Memory Leak
HP EliteDesk 800 G6,47.97,33.92,46.15,9.06,15.38,4757,Power Issue
Dell Precision 3650,88.08,50.22,77.72,11.42,63.29,3973,Overheating
HP EliteDesk 800 G6,17.42,60.21,47.01,11.78,48.05,1451,No Problem
Lenovo ThinkCentre M90q,61.34,68.97,95.58,12.74,19.08,4009,Overheating
HP Z2 G8,70.6,100.0,35.38,12.23,48.62,2998,Memory Leak
HP EliteDesk 800 G6,75.49,52.67,57.81,9.78,59.45,3170,Power Issue
Dell OptiPlex 7090,95.88,86.27,68.2,11.83,54.5,3156,Memory Leak
Lenovo ThinkCentre M90q,46.54,72.21,47.8,12.02,66.24,1565,Disk Failure
Dell OptiPlex 7090,48.01,59.43,67.41,9.58,3.16,911,Power Issue
Lenovo ThinkCentre M90q,51.61,19.85,66.93,12.09,96.99,2813,Disk Failure
HP Z2 G8,98.82,50.49,71.16,9.11,47.66,2259,Power Issue
Lenovo ThinkCentre M90q,74.43,65.34,108.18,11.34,51.25,2718,Overheating
HP EliteDesk 800 G6,84.23,100.0,92.59,11.7,48.61,3803,Memory Leak
Dell OptiPlex 7090,57.85,87.21,60.81,14.3,76.04,4227,Power Issue
HP EliteDesk 800 G6,37.37,30.11,55.32,11.74,37.75,2446,No Problem
Lenovo ThinkCentre M90q,46.44,21.66,52.06,12.35,27.13,2541,No Problem
HP Z2 G8,56.13,50.56,53.35,14.25,40.94,1056,Power Issue
HP Z2 G8,57.75,94.9,65.92,11.63,74.81,3814,Memory Leak
HP Z2 G8,46.86,26.32,34.54,12.4,47.23,2644,No Problem
HP EliteDesk 800 G6,91.27,68.69,88.16,11.77,98.0,1415,Overheating
Dell OptiPlex 7090,61.16,45.79,42.6,12.07,69.64,2011,No Problem
Dell OptiPlex 7090,30.62,13.43,49.73,12.59,96.04,2898,Disk Failure
Dell OptiPlex 7090,46.73,100.0,56.12,11.95,52.89,3312,Memory Leak
HP Z2 G8,34.08,61.31,45.99,12.02,51.65,1815,No Problem
Dell Precision 3650,30.71,61.33,56.68,11.91,66.73,1694,No Problem
HP Z2 G8,30.85,36.99,42.11,11.78,79.7,2856,Disk Failure
Lenovo ThinkCentre M90q,45.72,43.66,47.05,12.26,53.28,1988,No Problem
HP Z2 G8,67.63,29.23,52.87,12.15,98.18,2760,Disk Failure
HP EliteDesk 800 G6,25.76,49.92,51.4,11.95,59.08,2507,Disk Failure
Dell OptiPlex 7090,86.26,42.89,111.33,12.14,90.18,4555,Overheating
Dell OptiPlex 7090,44.54,93.37,78.73,11.92,87.31,3761,Memory Leak
Lenovo ThinkCentre M90q,80.41,39.13,82.66,12.06,57.72,1949,Overheating
HP Z2 G8,33.24,55.85,41.16,12.61,100.0,2854,Disk Failure
Lenovo ThinkCentre M90q,74.77,91.54,51.99,11.88,41.65,3642,Memory Leak
Dell Precision 3650,47.43,74.51,62.48,14.04,57.76,3739,Power Issue
Dell OptiPlex 7090,33.71,17.17,32.02,12.0,59.49,2253,No Problem
HP Z2 G8,40.27,54.23,35.37,13.45,61.06,2664,Power Issue
HP EliteDesk 800 G6,51.01,47.04,66.61,11.81,38.23,2920,No Problem
Dell OptiPlex 7090,79.93,55.43,92.86,12.21,61.45,4076,Overheating
HP Z2 G8,41.89,42.58,51.7,11.46,50.56,1902,No Problem
Dell Precision 3650,47.47,46.67,68.18,16.46,34.43,2268,Power Issue
Dell Precision 3650,81.66,37.46,79.4,11.37,27.92,3490,Overheating
Dell Precision 3650,25.79,47.28,50.59,12.05,31.12,1829,No Problem
HP EliteDesk 800 G6,76.56,68.15,94.82,12.38,64.81,1481,Overheating
HP EliteDesk 800 G6,64.4,65.61,80.15,12.31,76.83,5513,Overheating
Lenovo ThinkCentre M90q,21.82,67.46,59.05,11.65,100.0,2671,Disk Failure
Dell Precision 3650,76.33,94.42,63.94,12.17,58.46,3118,Memory Leak
HP EliteDesk 800 G6,41.42,54.99,56.97,11.8,42.66,1862,No Problem
Dell Precision 3650,90.69,52.37,105.91,11.63,71.75,4220,Overheating
Dell Precision 3650,83.37,72.32,85.65,11.97,59.72,1186,Overheating
Lenovo ThinkCentre M90q,44.71,12.81,72.76,11.9,83.64,2946,Disk Failure
HP Z2 G8,80.75,20.0,80.22,12.15,60.1,6550,Overheating
HP Z2 G8,99.07,56.77,110.22,11.44,33.09,5191,Overheating
HP EliteDesk 800 G6,44.94,48.56,51.16,11.72,54.0,2841,No Problem
Dell OptiPlex 7090,75.31,100.0,101.18,12.11,53.32,4897,Overheating
Lenovo ThinkCentre M90q,36.03,61.97,53.35,15.45,68.29,2657,Power Issue
Lenovo ThinkCentre M90q,33.07,35.2,50.91,10.54,33.96,2277,Power Issue
Dell Precision 3650,60.91,29.32,48.43,11.99,36.18,2083,No Problem
Dell Precision 3650,87.91,24.34,96.35,12.43,55.92,3833,Overheating
Dell Precision 3650,43.32,68.09,101.42,11.77,66.65,2228,Overheating
HP Z2 G8,51.72,47.74,45.55,11.78,58.84,2527,No Problem
Dell Precision 3650,32.73,27.44,50.74,14.44,74.88,1288,Power Issue
Dell OptiPlex 7090,49.79,49.24,105.54,12.3,46.5,1710,Overheating
Lenovo ThinkCentre M90q,57.19,43.59,72.0,12.39,63.7,2874,Overheating
Dell Precision 3650,43.24,43.72,77.77,11.43,91.97,1414,Overheating
Dell Precision 3650,58.44,42.34,36.97,8.63,75.18,3559,Power Issue
Dell Precision 3650,75.0,55.57,90.14,11.85,78.21,5577,Overheating
Lenovo ThinkCentre M90q,78.57,52.78,89.23,12.47,46.62,1368,Overheating
Lenovo ThinkCentre M90q,29.09,65.82,44.07,11.97,32.44,1958,No Problem
HP EliteDesk 800 G6,44.94,31.35,30.66,11.62,86.43,2493,Disk Failure
Lenovo ThinkCentre M90q,67.24,73.68,106.27,11.51,21.18,5387,Overheating
HP EliteDesk 800 G6,69.6,100.0,61.65,11.63,62.15,2914,Memory Leak
Dell Precision 3650,29.97,43.82,38.8,11.98,5.53,3249,No Problem
HP Z2 G8,72.05,56.82,82.18,11.8,47.85,4919,Overheating
Dell Precision 3650,65.36,100.0,64.35,11.79,38.84,3164,Memory Leak
Dell Precision 3650,69.33,43.54,66.95,10.8,38.82,3898,Power Issue
Lenovo ThinkCentre M90q,54.23,51.45,62.63,9.49,24.45,2679,Power Issue
HP EliteDesk 800 G6,59.29,62.43,62.19,7.41,73.81,4142,Power Issue
Lenovo ThinkCentre M90q,88.13,68.92,82.15,12.18,63.39,5277,Overheating
Dell Precision 3650,65.56,91.3,64.52,12.04,79.69,2945,Memory Leak
Lenovo ThinkCentre M90q,31.0,51.53,48.78,11.81,30.87,1472,No Problem
Dell Precision 3650,16.5,30.23,61.55,12.32,100.0,2738,Disk Failure
HP EliteDesk 800 G6,47.25,22.19,35.99,12.53,67.19,1756,No Problem
Dell Precision 3650,47.19,30.51,49.65,12.16,99.61,2256,Disk Failure
HP Z2 G8,39.03,30.75,54.09,11.8,72.67,2509,No Problem
HP Z2 G8,57.08,63.05,68.48,15.14,55.11,1243,Power Issue
Lenovo ThinkCentre M90q,60.1,40.27,59.59,12.29,89.43,3150,Disk Failure
Lenovo ThinkCentre M90q,63.11,46.91,103.47,11.85,48.79,2050,Overheating
Dell Precision 3650,99.3,58.95,87.01,12.64,78.49,3796,Overheating
HP Z2 G8,72.33,34.31,88.94,11.67,69.94,4217,Overheating
HP Z2 G8,62.31,14.07,49.83,11.78,5.0,2204,No Problem
Lenovo ThinkCentre M90q,100.0,16.48,58.92,10.15,28.52,1724,Power Issue
Dell OptiPlex 7090,42.6,39.85,55.01,11.6,68.34,1574,Disk Failure
Dell Precision 3650,43.01,75.07,60.29,11.55,71.83,1910,Disk Failure
HP EliteDesk 800 G6,78.0,69.41,50.74,12.24,97.53,4054,Disk Failure
Dell OptiPlex 7090,3.0,63.56,48.53,14.06,58.72,2845,Power Issue
HP Z2 G8,52.65,90.0,84.83,12.01,67.1,2564,Memory Leak
HP EliteDesk 800 G6,30.54,63.63,52.39,12.44,75.72,2041,No Problem
Dell Precision 3650,39.95,46.58,52.86,12.13,80.2,2384,Disk Failure
HP Z2 G8,56.49,48.92,61.67,12.0,90.69,1464,Disk Failure
Lenovo ThinkCentre M90q,71.04,52.33,46.11,10.66,22.77,3250,Power Issue
Lenovo ThinkCentre M90q,29.77,28.09,43.02,9.73,55.06,2558,Power Issue
Dell Precision 3650,76.72,89.06,64.73,12.03,39.36,3237,Memory Leak
Dell Precision 3650,95.93,89.09,44.26,11.69,66.98,1903,Memory Leak
Dell Precision 3650,24.73,46.47,71.42,12.09,54.56,2722,Disk Failure
Dell Precision 3650,46.77,24.76,47.29,11.79,57.44,2679,No Problem
HP EliteDesk 800 G6,52.75,59.29,71.58,11.54,52.73,1996,Power Issue
HP Z2 G8,3.0,31.98,61.07,12.66,32.08,2972,Power Issue
Dell OptiPlex 7090,30.49,29.67,44.79,10.05,49.13,3385,Power Issue
HP Z2 G8,31.98,26.13,49.63,11.8,29.48,2012,No Problem
Lenovo ThinkCentre M90q,17.33,24.91,57.52,11.93,40.13,2579,No Problem
Dell OptiPlex 7090,42.93,61.57,76.17,15.02,3.0,2860,Power Issue
Dell OptiPlex 7090,29.84,34.45,49.98,14.09,37.9,1775,Power Issue
Dell OptiPlex 7090,66.4,62.26,50.98,12.43,61.35,2126,No Problem
Dell OptiPlex 7090,55.09,17.83,72.8,8.51,49.03,2425,Power Issue
Lenovo ThinkCentre M90q,60.09,68.5,55.93,11.65,86.96,2618,Disk Failure
HP EliteDesk 800 G6,74.77,50.01,70.41,15.17,47.33,2135,Power Issue
Dell OptiPlex 7090,35.48,42.05,48.37,12.01,32.7,2283,No Problem
HP Z2 G8,64.06,30.87,37.12,11.98,68.81,1893,No Problem
Dell OptiPlex 7090,68.66,97.95,83.98,11.77,76.24,3344,Memory Leak
HP EliteDesk 800 G6,57.68,8.0,59.97,12.0,60.15,2826,Disk Failure
Lenovo ThinkCentre M90q,63.52,28.18,85.12,11.83,74.89,3952,Overheating
HP Z2 G8,77.38,85.68,72.49,11.76,47.38,4305,Memory Leak
HP Z2 G8,83.94,63.25,97.7,11.85,52.57,4418,Overheating
Dell Precision 3650,68.52,64.55,50.25,15.94,52.73,2119,Power Issue
HP EliteDesk 800 G6,65.83,39.47,27.03,9.83,36.06,3864,Power Issue
Dell OptiPlex 7090,38.05,33.94,33.75,12.17,39.39,2418,No Problem
Dell Precision 3650,33.03,16.15,45.4,12.01,35.37,1674,No Problem
HP EliteDesk 800 G6,40.99,54.01,54.53,14.58,3.0,2915,Power Issue
HP Z2 G8,85.38,90.85,52.49,12.12,91.55,1311,Memory Leak
Lenovo ThinkCentre M90q,56.44,29.17,45.64,14.84,67.72,2163,Power Issue
Dell Precision 3650,66.7,66.92,45.1,12.09,65.95,1906,Disk Failure
HP Z2 G8,59.39,100.0,69.49,12.36,40.28,2781,Memory Leak
Dell Precision 3650,58.2,74.74,52.56,12.17,83.45,3025,Disk Failure
HP EliteDesk 800 G6,19.43,35.12,65.15,12.66,20.08,3424,Power Issue
HP EliteDesk 800 G6,85.32,50.17,75.22,11.99,27.91,4884,Overheating
Dell Precision 3650,33.03,59.48,41.05,11.78,26.67,2730,No Problem
Lenovo ThinkCentre M90q,46.82,53.07,48.81,12.69,90.73,2048,Disk Failure
HP EliteDesk 800 G6,46.43,41.76,54.34,12.37,93.75,2556,Disk Failure
HP Z2 G8,52.64,57.75,59.84,9.29,26.85,2672,Power Issue
Dell Precision 3650,21.16,28.49,57.02,11.73,34.46,2315,No Problem
HP EliteDesk 800 G6,18.73,36.71,77.84,12.53,11.04,1628,Power Issue
HP Z2 G8,82.7,93.91,79.62,12.28,45.45,3358,Memory Leak
Dell Precision 3650,48.47,36.95,45.48,12.15,54.99,2370,No Problem
Dell OptiPlex 7090,75.34,74.59,53.54,11.82,45.74,2733,Memory Leak
Lenovo ThinkCentre M90q,11.16,26.96,41.17,11.93,42.22,2337,No Problem
HP EliteDesk 800 G6,42.79,60.11,56.98,12.17,92.38,3033,Disk Failure
HP EliteDesk 800 G6,81.74,74.13,96.55,11.86,61.87,3753,Overheating
HP EliteDesk 800 G6,60.02,46.09,52.29,11.79,68.16,2388,No Problem
Lenovo ThinkCentre M90q,62.95,78.57,61.75,11.97,86.89,2549,Disk Failure
Lenovo ThinkCentre M90q,84.86,87.67,46.47,12.03,38.4,3188,Memory Leak
HP EliteDesk 800 G6,32.81,54.18,39.06,10.35,38.57,2582,Power Issue
HP EliteDesk 800 G6,86.99,59.33,110.71,11.98,45.13,3501,Overheating
HP EliteDesk 800 G6,68.11,95.31,53.02,12.18,61.32,2703,Memory Leak
Lenovo ThinkCentre M90q,85.58,57.87,35.25,15.57,97.01,2033,Power Issue
HP EliteDesk 800 G6,34.49,44.09,79.1,15.65,41.61,4121,Power Issue
Dell OptiPlex 7090,35.64,91.85,67.64,11.96,69.24,2900,Memory Leak
HP Z2 G8,76.21,39.36,72.0,11.98,59.58,1393,Overheating
HP EliteDesk 800 G6,60.78,59.06,44.3,11.83,86.02,1376,Disk Failure
HP Z2 G8,74.77,81.07,78.97,12.07,46.41,3941,Overheating
HP Z2 G8,28.12,51.19,46.87,12.5,68.16,2039,No Problem
HP Z2 G8,78.42,89.43,68.29,12.12,44.14,2354,Memory Leak
Lenovo ThinkCentre M90q,66.12,91.73,71.07,11.62,68.6,4283,Memory Leak
Dell Precision 3650,5.0,40.35,51.68,11.94,23.6,1869,No Problem
HP EliteDesk 800 G6,69.61,93.38,67.51,11.84,73.51,3280,Memory Leak
Dell OptiPlex 7090,36.12,29.64,75.26,15.9,46.54,2092,Power Issue
Lenovo ThinkCentre M90q,77.29,96.26,56.95,11.89,49.07,4790,Memory Leak
Dell Precision 3650,88.3,87.1,60.45,11.81,47.66,3699,Memory Leak
HP EliteDesk 800 G6,47.96,100.0,115.78,12.2,54.6,1531,Overheating
HP Z2 G8,38.96,42.66,37.39,12.28,57.55,2205,No Problem
Lenovo ThinkCentre M90q,18.41,53.4,69.02,15.19,39.84,2741,Power Issue
HP Z2 G8,44.85,42.15,44.45,10.61,41.12,1685,Power Issue
Lenovo ThinkCentre M90q,44.56,41.98,40.32,12.18,63.82,2419,No Problem
Lenovo ThinkCentre M90q,80.23,88.57,50.88,12.01,66.95,3105,Disk Failure
HP EliteDesk 800 G6,67.48,41.33,103.53,12.43,74.5,4772,Overheating
Lenovo ThinkCentre M90q,54.63,56.12,44.7,11.94,60.74,1480,Power Issue
Dell OptiPlex 7090,5.14,43.96,53.7,11.87,35.13,2569,No Problem
Dell Precision 3650,51.24,39.1,59.51,15.72,72.66,2259,Power Issue
Dell OptiPlex 7090,42.7,56.54,72.06,11.95,50.68,2650,Power Issue
HP Z2 G8,69.34,74.69,95.28,11.81,63.49,3798,Overheating
HP Z2 G8,58.4,54.64,38.25,14.04,87.83,1609,Power Issue
Lenovo ThinkCentre M90q,72.81,79.53,56.98,13.1,74.07,2569,Power Issue
Lenovo ThinkCentre M90q,41.3,44.23,50.92,12.13,54.16,2280,No Problem
HP Z2 G8,83.24,80.47,94.05,11.63,83.9,4451,Overheating
Lenovo ThinkCentre M90q,48.71,41.16,62.85,8.42,60.67,4647,Power Issue
Lenovo ThinkCentre M90q,30.34,39.53,50.26,11.8,65.52,1963,No Problem
Dell OptiPlex 7090,10.77,78.0,49.79,12.6,37.81,1806,No Problem
Dell OptiPlex 7090,65.82,65.32,78.33,11.73,65.57,4614,Overheating
Lenovo ThinkCentre M90q,39.75,62.39,59.59,12.02,25.37,2460,No Problem
Dell Precision 3650,57.18,89.22,77.95,12.12,49.73,4151,Memory Leak
HP Z2 G8,93.61,58.01,72.3,14.68,3.0,413,Power Issue
Lenovo ThinkCentre M90q,51.82,30.06,53.06,11.66,91.89,2245,Disk Failure
Dell Precision 3650,100.0,45.66,117.9,11.81,79.41,4610,Overheating
Lenovo ThinkCentre M90q,51.71,85.93,54.9,12.54,51.26,2931,Memory Leak
Dell OptiPlex 7090,62.82,96.55,61.91,12.07,64.45,3388,Memory Leak
Dell Precision 3650,34.68,48.84,62.12,12.09,77.5,1597,Disk Failure
HP Z2 G8,18.01,64.1,67.14,10.56,30.03,1356,Power Issue
Dell OptiPlex 7090,57.03,100.0,64.42,12.27,36.85,3907,Memory Leak
Dell Precision 3650,46.32,57.03,80.73,15.56,80.08,2258,Power Issue
Dell Precision 3650,57.89,35.06,57.32,12.27,89.18,1983,Disk Failure
HP Z2 G8,28.87,100.0,89.72,11.84,83.88,3344,Memory Leak
Lenovo ThinkCentre M90q,32.31,54.58,66.89,15.11,49.67,2453,Power Issue
HP Z2 G8,64.96,35.88,35.03,12.19,62.9,2533,No Problem
HP Z2 G8,73.84,61.47,72.0,12.13,64.05,1238,Overheating
HP EliteDesk 800 G6,61.55,36.88,53.27,11.9,83.17,2756,Disk Failure
Dell OptiPlex 7090,61.07,45.94,45.23,12.65,100.0,1594,Disk Failure
HP Z2 G8,76.13,42.66,106.65,11.34,58.35,5303,Overheating
HP Z2 G8,75.21,47.19,73.42,14.41,3.0,2678,Power Issue
Dell OptiPlex 7090,51.5,73.88,60.42,11.96,68.2,2841,Disk Failure
Dell OptiPlex 7090,73.04,76.72,95.32,11.9,56.93,4217,Overheating
HP EliteDesk 800 G6,10.22,44.71,42.16,12.2,57.83,1847,No Problem
HP Z2 G8,24.52,25.08,55.01,11.72,49.69,2637,No Problem
Dell OptiPlex 7090,59.71,26.48,42.46,11.55,87.73,3239,Disk Failure
HP Z2 G8,3.06,30.96,63.49,10.34,36.33,2420,Power Issue
HP EliteDesk 800 G6,30.94,54.82,59.03,11.98,80.85,2433,Disk Failure
Lenovo ThinkCentre M90q,26.83,58.65,55.06,13.25,26.09,3270,Power Issue
Dell OptiPlex 7090,24.21,35.78,58.6,12.11,63.16,3085,No Problem
Dell OptiPlex 7090,36.62,45.18,57.98,11.98,92.35,2407,Disk Failure
Dell OptiPlex 7090,76.99,82.9,86.34,11.78,45.28,1065,Overheating
HP EliteDesk 800 G6,45.31,70.08,51.26,12.18,88.39,3595,Disk Failure
Lenovo ThinkCentre M90q,75.34,100.0,88.04,11.99,75.8,2912,Memory Leak
HP EliteDesk 800 G6,43.34,57.01,71.85,15.0,39.59,863,Power Issue
HP Z2 G8,54.88,39.25,43.41,12.21,98.67,2542,Disk Failure
Dell OptiPlex 7090,50.73,67.29,46.5,12.28,100.0,2249,Disk Failure
Dell OptiPlex 7090,52.14,52.79,95.3,11.74,39.34,6490,Overheating
Dell Precision 3650,23.52,58.98,38.83,12.09,75.28,2277,No Problem
Lenovo ThinkCentre M90q,49.94,95.24,62.28,12.27,49.47,3201,Memory Leak
HP EliteDesk 800 G6,59.75,53.29,70.46,11.22,45.35,2152,Power Issue
Dell OptiPlex 7090,59.17,37.85,44.36,12.12,56.24,2636,No Problem
Dell OptiPlex 7090,54.84,66.66,72.78,11.91,49.05,1561,Disk Failure
Dell OptiPlex 7090,59.71,95.78,59.82,11.87,39.51,4674,Memory Leak
HP EliteDesk 800 G6,22.61,56.61,54.72,12.17,52.34,2146,No Problem
Dell Precision 3650,63.95,99.16,52.77,12.38,54.99,2592,Memory Leak
Dell Precision 3650,60.11,62.12,52.81,12.06,55.87,1760,Disk Failure
