RepairID,PC_ID,UserComplaint,Symptoms,ProblemDetected,ConfirmedDiagnosis,RootCause,TreatmentTaken,RepairStatus,TechnicianNotes,ResolutionVerified
REP-00178,DRDO-PC-0102,Workstation overheats during continuous operation,Sustained thermal stress during continuous operation,Overheating,Continuous-operation thermal instability,Long-duration load with degraded cooling assembly,Serviced cooling assembly for continuous-duty operation,Completed,Diagnosis confirmed through targeted checks. Serviced cooling assembly for continuous-duty operation,Yes
REP-00396,DRDO-PC-0087,User reports: Repeated I O errors appear in system logs,Repeated operating-system I O errors,Disk Failure,Persistent disk I O fault,Persistent hardware-level I O faults,Replaced storage device after repeated hardware I O errors,Completed,Diagnosis confirmed through targeted checks. Replaced storage device after repeated hardware I O errors,Yes
REP-00912,DRDO-PC-0024,User reports: Preventive check requested after long uptime during recent operation.,Stable long-uptime behavior,No Problem,Long-uptime health check passed,No uptime-related degradation detected,Performed preventive check and retained baseline metrics,Completed,Diagnosis confirmed through targeted checks. Performed preventive check and retained baseline metrics,Yes
REP-00794,DRDO-PC-0011,User reports: Random power loss occurs during normal work,Random power interruption,Power Issue,Intermittent power path failure,Intermittent AC or DC power connection,Secured power path and replaced intermittent cable or PSU,Completed,Diagnosis confirmed through targeted checks. Secured power path and replaced intermittent cable or PSU,Yes
REP-00961,DRDO-PC-0074,Routine health check requested with no reported issue,No abnormal symptoms reported,No Problem,No fault detected,No fault present,Completed diagnostics and recorded healthy baseline,Completed,Diagnosis confirmed through targeted checks. Completed diagnostics and recorded healthy baseline,Yes
REP-00685,DRDO-PC-0026,Power becomes unstable during heavy processing during recent operation.,Unstable voltage during heavy workload,Power Issue,Power rail instability,Unstable voltage regulation,Replaced unstable power supply and verified voltage regulation,Completed,Diagnosis confirmed through targeted checks. Replaced unstable power supply and verified voltage regulation,Yes
REP-00384,DRDO-PC-0020,User reports: Computer sometimes cannot detect the storage drive,Intermittent drive detection failure,Disk Failure,Intermittent storage interface or device failure,Loose interface connection or failing drive controller,"Reseated storage connection, tested interface, and replaced drive if instability persisted",Completed,"Diagnosis confirmed through targeted checks. Reseated storage connection, tested interface, and replaced drive if instability persisted",Yes
REP-00957,DRDO-PC-0096,Maintenance note: User requests confirmation that hardware is healthy and requests diagnosis.,No hardware symptoms reported,No Problem,Hardware health check passed,No hardware defect detected,Verified hardware health and documented baseline,Completed,Diagnosis confirmed through targeted checks. Verified hardware health and documented baseline,Yes
REP-00752,DRDO-PC-0086,Maintenance note: Voltage warning appears in hardware monitoring and requests diagnosis.,Out-of-range voltage alert,Power Issue,Voltage regulation abnormality,Out-of-tolerance power rail,Corrected out-of-range power rail with PSU replacement,Completed,Diagnosis confirmed through targeted checks. Corrected out-of-range power rail with PSU replacement,Yes
REP-00258,DRDO-PC-0094,Observed issue: Folders open slowly and explorer frequently stops responding.,High directory-access latency; explorer hangs,Disk Failure,Excessive storage access latency,High retry rate from failing media,Replaced high-retry storage device and verified access latency,Completed,Diagnosis confirmed through targeted checks. Replaced high-retry storage device and verified access latency,Yes
REP-00539,DRDO-PC-0082,Observed issue: Memory consumption rises after each repeated task and requests diagnosis.,Per-operation memory accumulation,Memory Leak,Repeated-task allocation leak,Repeated operation leaves allocations behind,Corrected repeated-task cleanup and ran regression test,Completed,Diagnosis confirmed through targeted checks. Corrected repeated-task cleanup and ran regression test,Yes
REP-00336,DRDO-PC-0001,Observed issue: Repeated I O errors appear in system logs and requests diagnosis.,Repeated operating-system I O errors,Disk Failure,Persistent disk I O fault,Persistent hardware-level I O faults,Replaced storage device after repeated hardware I O errors,Completed,Diagnosis confirmed through targeted checks. Replaced storage device after repeated hardware I O errors,Yes
REP-00016,DRDO-PC-0065,PC gets hot and unexpectedly powers off,Overtemperature followed by shutdown,Overheating,Emergency thermal shutdown condition,Critical cooling failure,Replaced failed cooling components and ran thermal stress test,Completed,Diagnosis confirmed through targeted checks. Replaced failed cooling components and ran thermal stress test,Yes
REP-00325,DRDO-PC-0015,Observed issue: Frequent read errors occur when accessing project files and requests diagnosis.,Repeated read errors; inaccessible sectors,Disk Failure,Media read degradation,Growing unreadable sectors,Cloned recoverable data and replaced drive,Completed,Diagnosis confirmed through targeted checks. Cloned recoverable data and replaced drive,Yes
REP-00759,DRDO-PC-0007,Maintenance note: Machine is stable at idle but reboots under load and requests diagnosis.,Stable idle state; reboot under load,Power Issue,Load-dependent PSU instability,Voltage sag under load,Replaced PSU showing voltage sag under load,Completed,Diagnosis confirmed through targeted checks. Replaced PSU showing voltage sag under load,Yes
REP-00223,DRDO-PC-0076,User reports: System reports SMART warnings for the drive,SMART attributes outside healthy range,Disk Failure,SMART-predicted drive failure,SMART attribute deterioration,Migrated data to a healthy drive and retired failing device,Completed,Diagnosis confirmed through targeted checks. Migrated data to a healthy drive and retired failing device,Yes
REP-00180,DRDO-PC-0100,Thermal throttling occurs during demanding applications,Clock reduction under high temperature,Overheating,CPU thermal throttling confirmed,Processor cooler contamination,Cleaned processor cooler and verified throttling no longer occurs,Completed,Diagnosis confirmed through targeted checks. Cleaned processor cooler and verified throttling no longer occurs,Yes
REP-00984,DRDO-PC-0104,User reports: No fault reported; requesting standard diagnostics,Normal operation; diagnostics requested,No Problem,No reproducible hardware issue,No underlying fault identified,Ran standard diagnostics; no corrective action required,Completed,Diagnosis confirmed through targeted checks. Ran standard diagnostics; no corrective action required,Yes
REP-00023,DRDO-PC-0080,User reports: Computer shuts down after getting very hot,Thermal shutdown; excessive heat,Overheating,Thermal protection event confirmed,Cooling fan degradation,Replaced degraded cooling fan and validated RPM response,Completed,Diagnosis confirmed through targeted checks. Replaced degraded cooling fan and validated RPM response,Yes
REP-00357,DRDO-PC-0055,Maintenance note: Drive health warning appears after startup and requests diagnosis.,Drive-health alert; degraded SMART status,Disk Failure,Drive health degradation,Wear-related storage degradation,Performed backup and replaced drive with degraded health indicators,Completed,Diagnosis confirmed through targeted checks. Performed backup and replaced drive with degraded health indicators,Yes
REP-00667,DRDO-PC-0100,Maintenance note: System loses power intermittently.,Intermittent complete power loss,Power Issue,Intermittent PSU or connection fault,Loose connector or failing PSU,Reseated connectors and replaced intermittent PSU,Completed,Diagnosis confirmed through targeted checks. Reseated connectors and replaced intermittent PSU,Yes
REP-00862,DRDO-PC-0027,Maintenance note: PC appears to be operating normally.,Normal responsiveness; no warnings,No Problem,System operating within expected behavior,Normal system behavior,No repair required; continued routine monitoring,Completed,Diagnosis confirmed through targeted checks. No repair required; continued routine monitoring,Yes
REP-00341,DRDO-PC-0093,Maintenance note: Files take unusually long to open and disk errors appear and requests diagnosis.,SMART warning; high read latency,Disk Failure,Storage device degradation confirmed,Aging storage media,"Backed up data, replaced drive, and verified SMART health",Completed,"Diagnosis confirmed through targeted checks. Backed up data, replaced drive, and verified SMART health",Yes
REP-00432,DRDO-PC-0015,User reports: PC swaps heavily after several hours of use,Heavy paging after prolonged uptime,Memory Leak,Paging caused by unreleased allocations,Excessive paging triggered by retained memory,Fixed retained-memory source and verified paging returned to normal,Completed,Diagnosis confirmed through targeted checks. Fixed retained-memory source and verified paging returned to normal,Yes
REP-00552,DRDO-PC-0045,Maintenance note: PC swaps heavily after several hours of use and requests diagnosis.,Heavy paging after prolonged uptime,Memory Leak,Paging caused by unreleased allocations,Excessive paging triggered by retained memory,Fixed retained-memory source and verified paging returned to normal,Completed,Diagnosis confirmed through targeted checks. Fixed retained-memory source and verified paging returned to normal,Yes
REP-00834,DRDO-PC-0040,User reports: Routine pre-mission hardware verification requested,No mission-readiness fault indicators,No Problem,Mission-readiness check passed,Routine readiness verification,Completed readiness verification and documented pass,Completed,Diagnosis confirmed through targeted checks. Completed readiness verification and documented pass,Yes
REP-00204,DRDO-PC-0043,Computer sometimes cannot detect the storage drive,Intermittent drive detection failure,Disk Failure,Intermittent storage interface or device failure,Loose interface connection or failing drive controller,"Reseated storage connection, tested interface, and replaced drive if instability persisted",Completed,"Diagnosis confirmed through targeted checks. Reseated storage connection, tested interface, and replaced drive if instability persisted",Yes
REP-00631,DRDO-PC-0062,User reports: PC does not always wake or power on correctly,Intermittent power-state transition failure,Power Issue,Power-state delivery fault,Motherboard or PSU power-state fault,Diagnosed motherboard and PSU power-state path and replaced faulty component,Completed,Diagnosis confirmed through targeted checks. Diagnosed motherboard and PSU power-state path and replaced faulty component,Yes
REP-00094,DRDO-PC-0085,System temperature remains high after workload ends during recent operation.,Slow cooldown; persistent elevated temperature,Overheating,Heat retention after workload,Poor chassis ventilation,Improved chassis ventilation and cleared obstructions,Completed,Diagnosis confirmed through targeted checks. Improved chassis ventilation and cleared obstructions,Yes
REP-00559,DRDO-PC-0013,Maintenance note: Memory consumption rises after each repeated task and requests diagnosis.,Per-operation memory accumulation,Memory Leak,Repeated-task allocation leak,Repeated operation leaves allocations behind,Corrected repeated-task cleanup and ran regression test,Completed,Diagnosis confirmed through targeted checks. Corrected repeated-task cleanup and ran regression test,Yes
REP-00069,DRDO-PC-0076,Maintenance note: System becomes hot and starts throttling.,Thermal throttling; elevated fan activity,Overheating,Thermal throttling condition confirmed,Restricted airflow around CPU cooler,Removed airflow obstruction around processor cooler,Completed,Diagnosis confirmed through targeted checks. Removed airflow obstruction around processor cooler,Yes
REP-00623,DRDO-PC-0055,User reports: Computer sometimes fails to start on the first attempt,Intermittent startup failure,Power Issue,Intermittent startup power fault,Intermittent PSU startup behavior,Diagnosed startup rail behavior and replaced unstable power supply,Completed,Diagnosis confirmed through targeted checks. Diagnosed startup rail behavior and replaced unstable power supply,Yes
REP-00285,DRDO-PC-0081,Frequent read errors occur when accessing project files during recent operation.,Repeated read errors; inaccessible sectors,Disk Failure,Media read degradation,Growing unreadable sectors,Cloned recoverable data and replaced drive,Completed,Diagnosis confirmed through targeted checks. Cloned recoverable data and replaced drive,Yes
REP-00845,DRDO-PC-0058,Observed issue: System performance is normal but health verification is needed.,Stable performance; no abnormal telemetry reported,No Problem,Healthy operating state,Components operating within expected condition,Recorded healthy status and retained monitoring schedule,Completed,Diagnosis confirmed through targeted checks. Recorded healthy status and retained monitoring schedule,Yes
REP-00435,DRDO-PC-0038,User reports: Browser or application memory never returns after tabs close,Memory not reclaimed after workload ends,Memory Leak,Application memory reclamation failure,Application cache not released,Cleared faulty cache behavior and updated application,Completed,Diagnosis confirmed through targeted checks. Cleared faulty cache behavior and updated application,Yes
REP-00154,DRDO-PC-0047,Maintenance note: System temperature remains high after workload ends and requests diagnosis.,Slow cooldown; persistent elevated temperature,Overheating,Heat retention after workload,Poor chassis ventilation,Improved chassis ventilation and cleared obstructions,Completed,Diagnosis confirmed through targeted checks. Improved chassis ventilation and cleared obstructions,Yes
REP-00076,DRDO-PC-0090,Maintenance note: PC gets hot and unexpectedly powers off.,Overtemperature followed by shutdown,Overheating,Emergency thermal shutdown condition,Critical cooling failure,Replaced failed cooling components and ran thermal stress test,Completed,Diagnosis confirmed through targeted checks. Replaced failed cooling components and ran thermal stress test,Yes
REP-00731,DRDO-PC-0078,Observed issue: PC does not always wake or power on correctly and requests diagnosis.,Intermittent power-state transition failure,Power Issue,Power-state delivery fault,Motherboard or PSU power-state fault,Diagnosed motherboard and PSU power-state path and replaced faulty component,Completed,Diagnosis confirmed through targeted checks. Diagnosed motherboard and PSU power-state path and replaced faulty component,Yes
REP-00447,DRDO-PC-0089,Observed issue: Restart temporarily fixes very high RAM usage.,High RAM relieved only by restart,Memory Leak,Persistent allocation leak,Persistent process allocation leak,Applied vendor patch and verified allocation stability,Completed,Diagnosis confirmed through targeted checks. Applied vendor patch and verified allocation stability,Yes
REP-00189,DRDO-PC-0066,User reports: System becomes hot and starts throttling,Thermal throttling; elevated fan activity,Overheating,Thermal throttling condition confirmed,Restricted airflow around CPU cooler,Removed airflow obstruction around processor cooler,Completed,Diagnosis confirmed through targeted checks. Removed airflow obstruction around processor cooler,Yes
REP-00272,DRDO-PC-0100,Maintenance note: Storage device disconnects intermittently.,Intermittent storage disconnect,Disk Failure,Intermittent storage availability,Intermittent connector or device fault,Checked connector and replaced intermittent storage device,Completed,Diagnosis confirmed through targeted checks. Checked connector and replaced intermittent storage device,Yes
REP-00237,DRDO-PC-0048,User reports: Drive health warning appears after startup,Drive-health alert; degraded SMART status,Disk Failure,Drive health degradation,Wear-related storage degradation,Performed backup and replaced drive with degraded health indicators,Completed,Diagnosis confirmed through targeted checks. Performed backup and replaced drive with degraded health indicators,Yes
REP-00488,DRDO-PC-0039,System starts normally but becomes sluggish over time during recent operation.,Time-dependent slowdown; increasing memory pressure,Memory Leak,Time-dependent memory leak,Resource cleanup defect,Corrected resource cleanup path and tested prolonged runtime,Completed,Diagnosis confirmed through targeted checks. Corrected resource cleanup path and tested prolonged runtime,Yes
REP-00118,DRDO-PC-0031,User reports: Workstation overheats during continuous operation during recent operation.,Sustained thermal stress during continuous operation,Overheating,Continuous-operation thermal instability,Long-duration load with degraded cooling assembly,Serviced cooling assembly for continuous-duty operation,Completed,Diagnosis confirmed through targeted checks. Serviced cooling assembly for continuous-duty operation,Yes
REP-00944,DRDO-PC-0104,Maintenance note: No fault reported; requesting standard diagnostics and requests diagnosis.,Normal operation; diagnostics requested,No Problem,No reproducible hardware issue,No underlying fault identified,Ran standard diagnostics; no corrective action required,Completed,Diagnosis confirmed through targeted checks. Ran standard diagnostics; no corrective action required,Yes
REP-00513,DRDO-PC-0057,User reports: Long-running process causes gradual memory exhaustion during recent operation.,Long-running process retains memory,Memory Leak,Long-lived process allocation leak,Long-lived object retention,Updated long-running process and performed endurance test,Completed,Diagnosis confirmed through targeted checks. Updated long-running process and performed endurance test,Yes
REP-00826,DRDO-PC-0072,User reports: Scheduled maintenance check requested,No active symptoms; scheduled maintenance,No Problem,Scheduled maintenance condition,Scheduled inspection interval,Completed scheduled cleaning and inspection,Completed,Diagnosis confirmed through targeted checks. Completed scheduled cleaning and inspection,Yes
REP-00592,DRDO-PC-0091,User reports: PC swaps heavily after several hours of use,Heavy paging after prolonged uptime,Memory Leak,Paging caused by unreleased allocations,Excessive paging triggered by retained memory,Fixed retained-memory source and verified paging returned to normal,Completed,Diagnosis confirmed through targeted checks. Fixed retained-memory source and verified paging returned to normal,Yes
REP-00127,DRDO-PC-0066,Observed issue: PC overheats when multiple applications are open and requests diagnosis.,High temperature with prolonged workload,Overheating,Sustained thermal overload,Sustained workload with impaired cooling,Restored cooling path and validated under continuous load,Completed,Diagnosis confirmed through targeted checks. Restored cooling path and validated under continuous load,Yes
REP-00117,DRDO-PC-0098,User reports: Heat buildup occurs near the processor area during recent operation.,Localized processor heat; elevated package temperature,Overheating,Processor heat-transfer path degraded,Uneven heatsink seating,Reseated CPU cooler with correct mounting pressure,Completed,Diagnosis confirmed through targeted checks. Reseated CPU cooler with correct mounting pressure,Yes
REP-00474,DRDO-PC-0095,Maintenance note: Memory pressure warning appears repeatedly.,Repeated low-memory warnings,Memory Leak,Sustained memory pressure condition,Software memory management defect,Investigated low-memory events and patched responsible software,Completed,Diagnosis confirmed through targeted checks. Investigated low-memory events and patched responsible software,Yes
REP-00694,DRDO-PC-0013,Random power loss occurs during normal work during recent operation.,Random power interruption,Power Issue,Intermittent power path failure,Intermittent AC or DC power connection,Secured power path and replaced intermittent cable or PSU,Completed,Diagnosis confirmed through targeted checks. Secured power path and replaced intermittent cable or PSU,Yes
REP-00058,DRDO-PC-0077,Observed issue: Workstation overheats during continuous operation.,Sustained thermal stress during continuous operation,Overheating,Continuous-operation thermal instability,Long-duration load with degraded cooling assembly,Serviced cooling assembly for continuous-duty operation,Completed,Diagnosis confirmed through targeted checks. Serviced cooling assembly for continuous-duty operation,Yes
REP-00864,DRDO-PC-0090,Maintenance note: No fault reported; requesting standard diagnostics.,Normal operation; diagnostics requested,No Problem,No reproducible hardware issue,No underlying fault identified,Ran standard diagnostics; no corrective action required,Completed,Diagnosis confirmed through targeted checks. Ran standard diagnostics; no corrective action required,Yes
REP-00913,DRDO-PC-0014,User reports: System is responsive and no faults are reported during recent operation.,Normal responsiveness; no error events,No Problem,No fault condition reproduced,No reproducible issue,Ran diagnostics and confirmed no fault,Completed,Diagnosis confirmed through targeted checks. Ran diagnostics and confirmed no fault,Yes
REP-00370,DRDO-PC-0022,Operating system reports bad sectors,Bad-sector reports; read instability,Disk Failure,Bad-sector growth confirmed,Progressive sector failure,Backed up data and replaced drive with growing bad sectors,Completed,Diagnosis confirmed through targeted checks. Backed up data and replaced drive with growing bad sectors,Yes
REP-00269,DRDO-PC-0047,Maintenance note: Large file transfers fail before completion.,Transfer failure; I O retry events,Disk Failure,Unreliable sustained storage transfer,Unstable drive under sustained transfer,Replaced unstable drive and validated sustained transfers,Completed,Diagnosis confirmed through targeted checks. Replaced unstable drive and validated sustained transfers,Yes
REP-00047,DRDO-PC-0030,Observed issue: PC overheats when multiple applications are open.,High temperature with prolonged workload,Overheating,Sustained thermal overload,Sustained workload with impaired cooling,Restored cooling path and validated under continuous load,Completed,Diagnosis confirmed through targeted checks. Restored cooling path and validated under continuous load,Yes
REP-00350,DRDO-PC-0104,Maintenance note: Operating system reports bad sectors and requests diagnosis.,Bad-sector reports; read instability,Disk Failure,Bad-sector growth confirmed,Progressive sector failure,Backed up data and replaced drive with growing bad sectors,Completed,Diagnosis confirmed through targeted checks. Backed up data and replaced drive with growing bad sectors,Yes
REP-00196,DRDO-PC-0051,User reports: PC gets hot and unexpectedly powers off,Overtemperature followed by shutdown,Overheating,Emergency thermal shutdown condition,Critical cooling failure,Replaced failed cooling components and ran thermal stress test,Completed,Diagnosis confirmed through targeted checks. Replaced failed cooling components and ran thermal stress test,Yes
REP-01000,DRDO-PC-0039,User reports: Standard periodic health audit requested,No active issue during periodic audit,No Problem,Periodic health audit passed,Routine periodic audit,Completed periodic audit and retained normal monitoring,Completed,Diagnosis confirmed through targeted checks. Completed periodic audit and retained normal monitoring,Yes
REP-00835,DRDO-PC-0075,"User reports: No shutdowns, overheating, or storage errors observed","No thermal, storage, or power symptoms",No Problem,No evidence of thermal storage or power fault,No evidence of targeted failure modes,Checked thermal storage and power indicators; no repair needed,Completed,Diagnosis confirmed through targeted checks. Checked thermal storage and power indicators; no repair needed,Yes
REP-00737,DRDO-PC-0088,Observed issue: PC turns off immediately after starting a demanding task and requests diagnosis.,Immediate shutdown on demanding workload,Power Issue,Immediate load-triggered power protection event,Load-triggered overcurrent or undervoltage protection,Corrected overload condition and replaced degraded supply if needed,Completed,Diagnosis confirmed through targeted checks. Corrected overload condition and replaced degraded supply if needed,Yes
REP-00264,DRDO-PC-0060,Maintenance note: Computer sometimes cannot detect the storage drive.,Intermittent drive detection failure,Disk Failure,Intermittent storage interface or device failure,Loose interface connection or failing drive controller,"Reseated storage connection, tested interface, and replaced drive if instability persisted",Completed,"Diagnosis confirmed through targeted checks. Reseated storage connection, tested interface, and replaced drive if instability persisted",Yes
REP-00444,DRDO-PC-0044,Observed issue: PC eventually freezes after prolonged operation.,Memory exhaustion; eventual freeze,Memory Leak,Memory exhaustion from leaking process,Leaking service exhausts available RAM,"Stopped leaking process, updated component, and performed long-duration test",Completed,"Diagnosis confirmed through targeted checks. Stopped leaking process, updated component, and performed long-duration test",Yes
REP-00676,DRDO-PC-0080,Maintenance note: Power supply fan behaves erratically and shutdowns occur.,Erratic PSU fan; power loss,Power Issue,Power supply degradation,Aging power supply components,Replaced aging PSU and confirmed stable fan and output behavior,Completed,Diagnosis confirmed through targeted checks. Replaced aging PSU and confirmed stable fan and output behavior,Yes
REP-00305,DRDO-PC-0098,User reports: Frequent read errors occur when accessing project files during recent operation.,Repeated read errors; inaccessible sectors,Disk Failure,Media read degradation,Growing unreadable sectors,Cloned recoverable data and replaced drive,Completed,Diagnosis confirmed through targeted checks. Cloned recoverable data and replaced drive,Yes
REP-00342,DRDO-PC-0017,Maintenance note: PC freezes while copying large files and requests diagnosis.,I O stall during file copy; system freeze,Disk Failure,Disk I O instability,Degraded drive electronics or media,Replaced degraded storage device and tested file transfers,Completed,Diagnosis confirmed through targeted checks. Replaced degraded storage device and tested file transfers,Yes
REP-00967,DRDO-PC-0030,User reports no active problem,No user-observed fault,No Problem,No active problem identified,No active failure mechanism,No repair performed; advised normal monitoring,Completed,Diagnosis confirmed through targeted checks. No repair performed; advised normal monitoring,Yes
REP-00150,DRDO-PC-0044,Maintenance note: Computer gets hot even though room temperature is normal and requests diagnosis.,High idle temperature; poor heat dissipation,Overheating,Abnormally high idle thermal state,Background process load combined with poor cooling,Reduced abnormal background load and serviced cooling system,Completed,Diagnosis confirmed through targeted checks. Reduced abnormal background load and serviced cooling system,Yes
REP-00125,DRDO-PC-0102,Observed issue: Machine gets unusually hot while running simulations and requests diagnosis.,Persistent heat under load; performance degradation,Overheating,Cooling system unable to dissipate workload heat,Undersized or degraded cooling performance,Serviced cooling assembly and performed sustained-load test,Completed,Diagnosis confirmed through targeted checks. Serviced cooling assembly and performed sustained-load test,Yes
REP-00787,DRDO-PC-0046,User reports: System loses power intermittently,Intermittent complete power loss,Power Issue,Intermittent PSU or connection fault,Loose connector or failing PSU,Reseated connectors and replaced intermittent PSU,Completed,Diagnosis confirmed through targeted checks. Reseated connectors and replaced intermittent PSU,Yes
REP-00051,DRDO-PC-0020,Observed issue: Frequent thermal warnings during long workloads.,Repeated thermal alerts; sustained high temperature,Overheating,Recurring processor thermal excursion,Intermittent fan performance,Replaced intermittent fan module,Completed,Diagnosis confirmed through targeted checks. Replaced intermittent fan module,Yes
REP-00354,DRDO-PC-0063,Maintenance note: System fails to boot from the primary drive occasionally and requests diagnosis.,Occasional boot-device failure,Disk Failure,Primary boot drive instability,Boot drive degradation,Replaced primary boot drive and restored system image,Completed,Diagnosis confirmed through targeted checks. Replaced primary boot drive and restored system image,Yes
REP-00928,DRDO-PC-0042,Observed issue: PC is stable during normal workload and requests diagnosis.,Stable workload behavior,No Problem,Stable system condition,Normal workload operation,Verified stability under representative workload,Completed,Diagnosis confirmed through targeted checks. Verified stability under representative workload,Yes
REP-00143,DRDO-PC-0093,Maintenance note: Computer shuts down after getting very hot and requests diagnosis.,Thermal shutdown; excessive heat,Overheating,Thermal protection event confirmed,Cooling fan degradation,Replaced degraded cooling fan and validated RPM response,Completed,Diagnosis confirmed through targeted checks. Replaced degraded cooling fan and validated RPM response,Yes
REP-00471,DRDO-PC-0051,Maintenance note: Background service keeps increasing its memory footprint.,Background-service working set growth,Memory Leak,Background service memory leak,Background service resource leak,Restarted and patched leaking background service,Completed,Diagnosis confirmed through targeted checks. Restarted and patched leaking background service,Yes
REP-00400,DRDO-PC-0096,User reports: The machine shows recurring storage timeout messages,Storage command timeout; repeated retries,Disk Failure,Recurring storage timeout condition,Drive command processing instability,Replaced unstable drive and verified timeout events cleared,Completed,Diagnosis confirmed through targeted checks. Replaced unstable drive and verified timeout events cleared,Yes
REP-00626,DRDO-PC-0068,User reports: PC shuts down when multiple peripherals are connected,Shutdown with increased peripheral load,Power Issue,Insufficient power delivery under peripheral load,Peripheral load exceeds stable delivery capacity,Reduced unsupported load or upgraded PSU capacity,Completed,Diagnosis confirmed through targeted checks. Reduced unsupported load or upgraded PSU capacity,Yes
REP-00321,DRDO-PC-0019,Observed issue: Files take unusually long to open and disk errors appear and requests diagnosis.,SMART warning; high read latency,Disk Failure,Storage device degradation confirmed,Aging storage media,"Backed up data, replaced drive, and verified SMART health",Completed,"Diagnosis confirmed through targeted checks. Backed up data, replaced drive, and verified SMART health",Yes
REP-00020,DRDO-PC-0020,Thermal throttling occurs during demanding applications,Clock reduction under high temperature,Overheating,CPU thermal throttling confirmed,Processor cooler contamination,Cleaned processor cooler and verified throttling no longer occurs,Completed,Diagnosis confirmed through targeted checks. Cleaned processor cooler and verified throttling no longer occurs,Yes
REP-00810,DRDO-PC-0083,No warning messages or unusual behavior observed,No warnings; no instability,No Problem,No abnormal condition detected,Normal telemetry and event behavior,Reviewed logs and telemetry; no action required,Completed,Diagnosis confirmed through targeted checks. Reviewed logs and telemetry; no action required,Yes
REP-00791,DRDO-PC-0029,User reports: PC does not always wake or power on correctly,Intermittent power-state transition failure,Power Issue,Power-state delivery fault,Motherboard or PSU power-state fault,Diagnosed motherboard and PSU power-state path and replaced faulty component,Completed,Diagnosis confirmed through targeted checks. Diagnosed motherboard and PSU power-state path and replaced faulty component,Yes
REP-00809,DRDO-PC-0078,General system health assessment requested,No abnormal hardware behavior,No Problem,General diagnostics within expected range,No abnormal hardware condition,Completed health assessment and updated maintenance record,Completed,Diagnosis confirmed through targeted checks. Completed health assessment and updated maintenance record,Yes
REP-00408,DRDO-PC-0099,System starts normally but becomes sluggish over time,Time-dependent slowdown; increasing memory pressure,Memory Leak,Time-dependent memory leak,Resource cleanup defect,Corrected resource cleanup path and tested prolonged runtime,Completed,Diagnosis confirmed through targeted checks. Corrected resource cleanup path and tested prolonged runtime,Yes
REP-00538,DRDO-PC-0086,Observed issue: Application performance degrades as RAM usage grows and requests diagnosis.,Performance degradation correlated with RAM growth,Memory Leak,RAM growth causing performance degradation,Increasing working set from leak,Applied software fix and verified RAM growth stopped,Completed,Diagnosis confirmed through targeted checks. Applied software fix and verified RAM growth stopped,Yes
REP-00621,DRDO-PC-0041,User reports: PC restarts unexpectedly when workload increases,Load-related restart; voltage instability,Power Issue,Power delivery instability,Degraded power supply regulation,"Tested power rails, replaced degraded PSU, and verified load stability",Completed,"Diagnosis confirmed through targeted checks. Tested power rails, replaced degraded PSU, and verified load stability",Yes
REP-00039,DRDO-PC-0065,User reports: System is running much hotter than usual,Temperature above normal operating baseline,Overheating,System thermal baseline elevated,Ambient airflow restriction,Cleared environmental and chassis airflow restrictions,Completed,Diagnosis confirmed through targeted checks. Cleared environmental and chassis airflow restrictions,Yes
REP-00176,DRDO-PC-0020,PC gets hot and unexpectedly powers off,Overtemperature followed by shutdown,Overheating,Emergency thermal shutdown condition,Critical cooling failure,Replaced failed cooling components and ran thermal stress test,Completed,Diagnosis confirmed through targeted checks. Replaced failed cooling components and ran thermal stress test,Yes
REP-00246,DRDO-PC-0061,Observed issue: Boot process is slow and disk check runs repeatedly.,Slow boot; recurring filesystem checks,Disk Failure,Filesystem instability associated with failing storage,Storage media degradation causing filesystem errors,Repaired filesystem after replacing degraded storage,Completed,Diagnosis confirmed through targeted checks. Repaired filesystem after replacing degraded storage,Yes
REP-00829,DRDO-PC-0021,User reports: General system health assessment requested,No abnormal hardware behavior,No Problem,General diagnostics within expected range,No abnormal hardware condition,Completed health assessment and updated maintenance record,Completed,Diagnosis confirmed through targeted checks. Completed health assessment and updated maintenance record,Yes
REP-00668,DRDO-PC-0034,Maintenance note: Computer cycles on and off during startup.,Power cycling during boot,Power Issue,Startup power sequencing instability,Power sequencing fault,Repaired or replaced component causing startup power cycling,Completed,Diagnosis confirmed through targeted checks. Repaired or replaced component causing startup power cycling,Yes
REP-00755,DRDO-PC-0033,Maintenance note: Computer restarts after adding a high-load device and requests diagnosis.,Restart after increased device load,Power Issue,Power capacity or connection issue,Marginal PSU capacity,Upgraded marginal PSU and verified device-load stability,Completed,Diagnosis confirmed through targeted checks. Upgraded marginal PSU and verified device-load stability,Yes
REP-00859,DRDO-PC-0010,Observed issue: No performance degradation has been noticed.,No observed performance degradation,No Problem,No degradation detected,No measurable degradation,Checked performance indicators; no degradation found,Completed,Diagnosis confirmed through targeted checks. Checked performance indicators; no degradation found,Yes
REP-00155,DRDO-PC-0017,Maintenance note: Fans become loud but the PC still gets very hot and requests diagnosis.,High temperature despite high fan speed,Overheating,Cooling airflow ineffective despite fan demand,Fan spinning but airflow path obstructed,Cleared blocked airflow path and verified fan delivery,Completed,Diagnosis confirmed through targeted checks. Cleared blocked airflow path and verified fan delivery,Yes
